ID,Name,Slug,Start Date,Primary Languages,Workload,Is Part of Specialization
tz27da7mEeytqw64hz8ZCw,إنشاء قصص المستخدمين في برنامج جيرا,inshaa-kosas-almostakhdimin-fi-barnamej-jira,1650465674249,ar,ساعتين,False
cXBp8-jlEeyDYwq6z4uKRQ,Sustainable Transportation Networks and Streetscapes,sustainable-transportation-networks-and-streetscapes,1664229103000,en,,False
pJEIikpmEeuZGAr_TcQGiQ, بناء Backend لنسخة من Twitter,twitter-clone-backend-arabic,1609788641224,ar,1 hour,False
nxml3MX8EeqYWA5h_QkAcQ,New Product Development For Small Businesses and Start-Ups,new-product-dev-smes,1597096290209,en,1hr 40 minutes,False
Ux2WtmBXEemE2Q6eJy4pcg,"FinTech: Foundations, Payments, and Regulations",wharton-fintech-overview-payments-regulations,1559176044059,en,2-3 hours per week,False
qYE1_lWtEee9zA480n2xtg,Large Marine Ecosystems: Assessment and Management,large-marine-ecosystems,1523907840464,en,"This course has been designed to be taken over six weeks, involving 3-4 hours per week.",False
CSd-e9KlEeivcxLlMjHI2A,Introduction to Industrial Bioprocess Development,industrial-bioprocess-development,1677488541483,en,,False
UZu0wtZPEemAZRLx6FCxVg,AI Workflow: Enterprise Model Deployment,ibm-ai-workflow-machine-learning-model-deployment,1575658941758,en,This course requires 7.5 to 9 hours of study.,False
qIVkPSO8EeuVrhKFjkWrKw,بدء المشاريع والتخطيط لها,project-planning-ar,1615992828946,ar,مدة الدراسة 4 أسابيع، من 2-3 ساعات/ أسبوعيًا,False
p_-Q0DicEeyeYA42DXbPkQ,Ethics of Artificial Intelligence,ethics-of-artificial-intelligence,1639318903879,en,4 weeks ,False
tGLtWKksEeywagovoAKHOQ,Troubleshooting and Solving Data Join Pitfalls,googlecloud-troubleshooting-and-solving-data-join-pitfalls-ukiqz,1648662267315,en,1 hour,False
wLwaf6GpEeua9hJHpJ2HqQ,Let’s Read! Learning Japanese through Science & Technology-1,japanese-language-1,1650498638915,ja,２〜３時間/週,False
rAdvCUU6Eeu5YxIbcwLDzw,Data Visualization e manipolazione dei dati con Tableau,data-visualization-manipolazione-tableau,1618563081386,it,"4 settimane, 5-8 ore/settimana",False
4IaPepXJEeir-RIKs5gHUA,Intro to TensorFlow em Português Brasileiro,intro-tensorflow-br,1540323391979,pt,"4 semanas, 8-10 horas por semana",False
PI0WBY--EeymKA5AV4I0Ow,مقدمة إلى نظام التشغيل أوبونتو,muqadima-ila-nizam-tashgyl-ubuntu,1646246954567,ar,ساعتين,False
3poShluBEeu1URLEECyWWw,Validate HTML Forms with JavaScript and HTML,validate-html-forms-javascript-html,1612488135074,en,2 hours,False
zN_XyjlAEeWCYBKNeFwojw,Web Design for Everybody Capstone,web-design-project,1465833846926,en,"6 weeks of study, 6-8 hours/week",False
FGNkDGqVEem9mhKcaChMwA,Social Media Advertising,social-media-advertising,1575043317774,en,,False
cTRm9alUEe2txRJ4UFoCeQ,VMware NSX를 활용한 네트워킹 및 보안 아키텍처,networking-security-architecture-vmware-nsx-ko,1679614687972,ko,"8주 학습 과정, 주당 2~3시간 소요",False
YO9_vwpyEeun9Q5tylnU9Q,Advanced Deep Learning Methods for Healthcare,advanced-deep-learning-methods-healthcare,1643406194327,en,"This course is designed for 4 weeks, but it can be stretched out by the learner as needed.",False
XU1I1GG6EeyipgpI5l_HwQ,Aruba Networking Basics for Portuguese Speakers ,aruba-networking-basics-portuguese,1643828616810,pt,"3 weeks, 2 hours/week",False
AzePbKBBEea7IQ5foiOduA,Financing Infrastructure in African Cities,financing-infrastructure-in-african-cities,1517817730006,en,"5 weeks of study, 2-5 hours per week",False
kKwHoIP4Eea_HA7U3gpEVw,The Art of Vocal Production,vocal-production,1482169203187,en,"4 weeks of study, 3-5 hours/ week",False
tPjfwVyIEe24Xg4Eq-eSRQ,Decision-Making,decisionmaking,1676530955809,en,,False
N9ARoTR9Eem8AApO0WzJlA,Using SAS Viya REST APIs with Python and R,sas-viya-rest-api-python-r,1561048848567,en,,False
mUSYT5noEeWqkw5zNB248Q,Bioconductor for Genomic Data Science,bioconductor,1453137680526,en,,False
H4Lq9DClEeeckAoFzJuh9g,Introduction to Who Wrote Shakespeare,shakespeare,1519106050920,en,"4 weeks of study, 3-4 hours/week.",False
jq3NGKJ7EeWM5RIHOLu8Dw,Strategic Leadership and Management Capstone,strategic-leadership-capstone,1472445246283,en,,False
w7kZtwo-EeuWNw71wOIUfQ,TensorFlow for CNNs: Learn and Practice CNNs,tensorflow-for-cnns-learn-and-practice-cnns,1602286520218,en,2 hours,False
72qAZZbqEeuFpwo_oTjObQ,Interpretable Machine Learning Applications: Part 4,interpretable-machine-learning-applications-part-4,1618583692010,en,1.5 hours,False
-jmtWEh5Ee2duhJkJYfIJQ,Getting Started with MongoDB Atlas on Google Cloud,googlecloud-getting-started-with-mongodb-atlas-on-google-cloud-mwbdc,1667797979496,en,60 minutes,False
KzxMxh2UEeyNYgrqC77JMw,Design de uma experiência do usuário para o bem social e preparação para o mercado,design-de-uma-experiencia-do-usuario-para-o-bem-social,1652480309660,pt,,False
AMBr8zelEeWJaxK5AT4frw,App Design and Development for iOS,ios-app-design-development,1454376698095,en,"5 weeks of study, 1-2 hours/week",False
i5s9WRAfEeykpwqKUJ17cQ,Work with Components in Figma,work-components-figma,1631472820241,en,2 hours,False
MWvdwMVpEeeoqQp801tMaA,Corporate & Commercial Law I: Contracts & Employment Law,corporate-commercial-law-part1,1526511480680,en,6 to 8 hours per week,False
emCu12atEeW2DA58V0Z6GQ,The Blues: Understanding and Performing an American Art Form,the-blues,1459181967466,en,"7 weeks of study, 1-2 hours/week",False
o1uWOrOGEeuUgRLoWReItw,Aggregate Data in SQL using MySQL Workbench,aggregate-data-sql-mysql-workbench,1621449971052,en,2 hours,False
P0ciGZT0EeyHuA5cIqn4NQ,Introduction to Networking and Storage,introduction-to-networking-and-storage,1647892349528,en,"4 weeks of study, 2-3 hours / week",False
Q4R4a6kiEeyxDg4ukgkVlw,Compute Engine: Qwik Start - Windows,googlecloud-compute-engine-qwik-start-windows-5jkcv,1648662244227,en,40 minutes,False
OdQlmynGEeuJ2QrrskyyVw,Project Execution and Control,project-execution-control,1614615173830,en,,False
IjzcekeSEeaL3g5tgt_P6Q,Developing Your Musicianship: Final Project,musicianship-final-project,1479752977193,en,"4 weeks of study, 2-3 hours/week",False
EXvRG9xVEeuTww4ta8ZJrw,Building Scratch and Read Activities with Seesaw,building-scratch-and-read-activities-with-seesaw,1638392368756,en,1 hour,False
